class,area
1,1538
1,8544
1,8424
1,169
1,1538
1,1444
1,8424
1,156
1,325
1,156
1,325
1,156
1,144
1,63056
1,3594
1,63056
1,3594
1,144
1,2030
1,456
1,156
1,45769
1,1562
1,1562
1,2030
1,2031
1,794
1,325
1,2331
1,11574
1,156
1,325
1,2331
1,11574
1,33136
1,22789
1,300
1,325
1,22789
1,300
1,300
1,6211
1,144
1,1562
1,6994
1,7425
1,1406
1,300
1,7400
1,1406
1,1588
1,325
1,1876
1,2020
1,16095
1,14220
1,325
1,415531
1,4388
1,97144
1,325
1,415568
1,3581
1,4350
1,37607
1,156
1,4062
1,625
1,169
1,169
1,156
1,4062
1,625
1,1081
1,1888
1,54169
1,2031
1,144
1,1888
1,54169
1,2031
1,66938
1,2343
1,156
1,625
1,4076
1,2199
1,625
1,4076
1,4544
1,1406
1,7269
1,1562
1,2187
1,1406
1,136532
1,1444
1,2187
1,1406
1,117482
1,156
1,1706
1,6274
1,156
1,1706
1,156
1,15325
1,156
1,3919
1,3475
1,3893
1,3475
1,1588
1,1406
1,1588
1,1406
1,300
1,1369
1,144
1,300
1,1369
1,156
1,1538
1,18675
1,1406
1,156
1,8087
1,39119
1,156
1,4375
1,456
1,156
1,169
1,156
1,1562
1,156
1,3438
1,3556
1,3438
1,1550
1,3544
1,1406
1,1369
1,204463
1,144
1,2332
1,144
1,17294
1,156
1,169
1,146586
1,9543
1,689746
1,17294
1,600
1,2487
1,1406
1,1588
1,144
1,144
1,156
1,34975
1,156
1,2488
1,11392
1,1718
1,2488
1,169
1,1562
1,169
1,4650
1,10338
1,1562
1,1562
1,7981
1,169
1,481
1,1369
1,27920
1,1550
1,300
1,481
1,1369
1,27920
1,1550
1,169
1,169
1,1406
1,4074
1,1406
1,4074
1,55924
1,207292
1,55924
1,2343
1,1406
1,2343
1,1406
1,1406
1,3294
1,156
1,3631
1,7069
1,543983
1,1444
1,1600
1,300
1,625
1,625
1,300
1,8281
1,38086
1,300
1,606296
1,1406
1,156
1,446596
1,1237
1,24675
1,1406
1,1406
1,325
1,4219
1,50512
1,4219
1,1588
1,1588
1,37055
1,6417
1,30648
1,1406
1,156
1,1406
1,2176
1,300
1,2176
1,156
1,6431
1,156
1,6431
1,1538
1,1562
1,2020
1,5600
1,1369
1,6681
1,15875
1,169
1,113906
1,1600
1,6757
1,6757
1,11561
1,144
1,27500
1,638
1,37175
1,21515
1,1369
1,325
1,925
1,300
1,4231
1,913
1,300
1,118141
